,SubjID,Opt1Item1,Opt1Item2,Opt2Item1,Opt2Item2,OnsetTime,Run,ReactionTime,Button,Choice,Opt1Code,Opt1Type,Opt2Code,Opt2Type,Consistent,Opt1Item1Value,Opt1Item2Value,Opt2Item1Value,Opt2Item2Value,Opt1Item1Rank,Opt1Item2Rank,Opt2Item1Rank,Opt2Item2Rank,Opt1Value,Opt2Value,ValueDiff,Opt1Rank,Opt2Rank
57,3301,19,19,22,0,199.06,1,1.6763,1,1,49.0,2.0,26,1.0,0,-0.48098102045,-0.48098102045,-0.257838708409,,13.0,13.0,22.0,,-0.757086304362,-0.257838708409,-0.499247595953,5.0,22.0
59,3301,27,27,22,0,204.54,1,0.88854,2,1,2.0,2.0,26,1.0,1,0.240248274956,0.240248274956,-0.257838708409,,29.0,29.0,22.0,,0.29391400371,-0.257838708409,0.551752712119,30.0,22.0
61,3301,3,0,22,0,209.55,1,0.79402,2,2,38.0,1.0,26,1.0,1,0.741557762527,,-0.257838708409,,34.0,,22.0,,0.741557762527,-0.257838708409,0.999396470936,34.0,22.0
63,3301,29,29,22,0,221.08,1,1.139,2,1,8.0,2.0,26,1.0,1,-0.6300917585,-0.6300917585,-0.257838708409,,9.0,9.0,22.0,,-0.292640618302,-0.257838708409,-0.034801909893,20.0,22.0
64,3301,15,15,22,0,225.52,1,0.68775,2,2,32.0,2.0,26,1.0,1,-0.307994015546,-0.307994015546,-0.257838708409,,18.0,18.0,22.0,,-0.729053988987,-0.257838708409,-0.471215280578,6.0,22.0
65,3301,29,0,22,0,230.04,1,1.1256,2,1,13.0,1.0,26,1.0,1,-0.6300917585,,-0.257838708409,,9.0,,22.0,,-0.6300917585,-0.257838708409,-0.372253050091,9.0,22.0
67,3301,13,0,22,0,237.06,1,1.426,2,2,15.0,1.0,26,1.0,0,0.706493438023,,-0.257838708409,,33.0,,22.0,,0.706493438023,-0.257838708409,0.964332146432,33.0,22.0
69,3301,16,26,22,0,243.54,1,1.2629,2,1,16.0,3.0,26,1.0,1,-0.710296193358,-0.534728808687,-0.257838708409,,7.0,12.0,22.0,,-0.689794180106,-0.257838708409,-0.431955471697,8.0,22.0
71,3301,19,3,22,0,250.54,1,1.6936,2,1,37.0,3.0,26,1.0,0,-0.48098102045,0.741557762527,-0.257838708409,,13.0,34.0,22.0,,0.525056342013,-0.257838708409,0.782895050422,32.0,22.0
73,3301,28,0,22,0,256.1,1,1.5824,2,1,14.0,1.0,26,1.0,1,-0.0492876199734,,-0.257838708409,,24.0,,22.0,,-0.0492876199734,-0.257838708409,0.208551088436,24.0,22.0
75,3301,22,27,22,0,262.05,1,1.3153,2,1,22.0,3.0,26,1.0,1,-0.257838708409,0.240248274956,-0.257838708409,,22.0,29.0,22.0,,1.28817709491,-0.257838708409,1.54601580332,38.0,22.0
77,3301,26,0,22,0,268.54,1,0.73206,2,1,33.0,1.0,26,1.0,0,-0.534728808687,,-0.257838708409,,12.0,,22.0,,-0.534728808687,-0.257838708409,-0.276890100278,12.0,22.0
79,3301,22,22,22,0,273.57,1,0.80208,2,2,25.0,2.0,26,1.0,0,-0.257838708409,-0.257838708409,-0.257838708409,,22.0,22.0,22.0,,-1.2448744418,-0.257838708409,-0.987035733391,2.0,22.0
81,3301,8,0,22,0,282.58,1,1.071,2,1,1.0,1.0,26,1.0,1,-0.0169474762446,,-0.257838708409,,25.0,,22.0,,-0.0169474762446,-0.257838708409,0.240891232164,25.0,22.0
83,3301,16,0,22,0,291.54,1,0.95678,1,2,43.0,1.0,26,1.0,1,-0.710296193358,,-0.257838708409,,7.0,,22.0,,-0.710296193358,-0.257838708409,-0.452457484949,7.0,22.0
85,3301,22,19,22,0,297.03,1,3.5372,2,2,39.0,3.0,26,1.0,1,-0.257838708409,-0.48098102045,-0.257838708409,,22.0,13.0,22.0,,0.0683161013914,-0.257838708409,0.3261548098,26.0,22.0
87,3301,29,10,22,0,302.53,1,0.88027,2,2,30.0,3.0,26,1.0,1,-0.6300917585,-0.373781915326,-0.257838708409,,9.0,14.0,22.0,,0.0911943234534,-0.257838708409,0.349033031862,28.0,22.0
89,3301,16,16,22,0,307.54,1,1.163,1,1,21.0,2.0,26,1.0,1,-0.710296193358,-0.710296193358,-0.257838708409,,7.0,7.0,22.0,,-0.60057181608,-0.257838708409,-0.342733107671,10.0,22.0
91,3301,26,26,22,0,313.58,1,0.69853,2,2,28.0,2.0,26,1.0,1,-0.534728808687,-0.534728808687,-0.257838708409,,12.0,12.0,22.0,,-0.773012109963,-0.257838708409,-0.515173401554,4.0,22.0
93,3301,3,3,22,0,318.54,1,1.0054,2,2,36.0,2.0,26,1.0,1,0.741557762527,0.741557762527,-0.257838708409,,34.0,34.0,22.0,,0.339246148203,-0.257838708409,0.597084856612,31.0,22.0
94,3301,13,26,22,0,323.01,1,1.4403,2,1,5.0,3.0,26,1.0,1,0.706493438023,-0.534728808687,-0.257838708409,,33.0,12.0,22.0,,0.888232128407,-0.257838708409,1.14607083682,35.0,22.0
96,3301,26,0,16,0,0.0,0,13.287,0,2,33.0,1.0,43,1.0,0,-0.534728808687,,-0.710296193358,,12.0,,7.0,,-0.534728808687,-0.710296193358,0.175567384671,12.0,7.0
97,3301,16,16,6,12,0.0,0,0.31089,0,2,21.0,2.0,27,3.0,0,-0.710296193358,-0.710296193358,-0.269332972951,-0.215207513316,7.0,7.0,21.0,23.0,-0.60057181608,0.0768644070626,-0.677436223143,10.0,27.0
98,3301,8,0,13,13,0.0,0,2.7519,0,2,1.0,1.0,7,2.0,0,-0.0169474762446,,0.706493438023,0.706493438023,25.0,,33.0,33.0,-0.0169474762446,0.923587677881,-0.940535154126,25.0,36.0
99,3301,3,3,16,0,0.0,0,2.0998,0,1,36.0,2.0,43,1.0,1,0.741557762527,0.741557762527,-0.710296193358,,34.0,34.0,7.0,,0.339246148203,-0.710296193358,1.04954234156,31.0,7.0
100,3301,16,26,22,0,0.0,0,1.8308,0,1,16.0,3.0,26,1.0,1,-0.710296193358,-0.534728808687,-0.257838708409,,7.0,12.0,22.0,,-0.689794180106,-0.257838708409,-0.431955471697,8.0,22.0
101,3301,13,13,5,0,0.0,0,0.90862,0,1,7.0,2.0,10,1.0,1,0.706493438023,0.706493438023,-0.358560988724,,33.0,33.0,16.0,,0.923587677881,-0.358560988724,1.2821486666,36.0,16.0
102,3301,5,0,16,26,0.0,0,3.3546,0,2,10.0,1.0,16,3.0,0,-0.358560988724,,-0.710296193358,-0.534728808687,16.0,,7.0,12.0,-0.358560988724,-0.689794180106,0.331233191382,16.0,8.0
103,3301,26,26,3,3,0.0,0,1.4757,0,2,28.0,2.0,36,2.0,0,-0.534728808687,-0.534728808687,0.741557762527,0.741557762527,12.0,12.0,34.0,34.0,-0.773012109963,0.339246148203,-1.11225825817,4.0,31.0
104,3301,12,24,22,0,0.0,0,1.3414,0,1,19.0,3.0,26,1.0,1,-0.215207513316,-0.315726224066,-0.257838708409,,23.0,17.0,22.0,,1.44123015933,-0.257838708409,1.69906886774,39.0,22.0
105,3301,3,3,19,10,0.0,0,1.2252,0,1,36.0,2.0,46,3.0,1,0.741557762527,0.741557762527,-0.48098102045,-0.373781915326,34.0,34.0,13.0,14.0,0.339246148203,-1.48686858312,1.82611473132,31.0,1.0
106,3301,28,0,16,16,0.0,0,2.146,0,1,14.0,1.0,21,2.0,1,-0.0492876199734,,-0.710296193358,-0.710296193358,24.0,,7.0,7.0,-0.0492876199734,-0.60057181608,0.551284196107,24.0,10.0
107,3301,3,3,19,10,0.0,0,1.0478,0,1,36.0,2.0,46,3.0,1,0.741557762527,0.741557762527,-0.48098102045,-0.373781915326,34.0,34.0,13.0,14.0,0.339246148203,-1.48686858312,1.82611473132,31.0,1.0
108,3301,16,26,22,27,0.0,0,2.9986,0,2,16.0,3.0,22,3.0,0,-0.710296193358,-0.534728808687,-0.257838708409,0.240248274956,7.0,12.0,22.0,29.0,-0.689794180106,1.28817709491,-1.97797127502,8.0,38.0
109,3301,13,26,27,0,0.0,0,0.91495,0,1,5.0,3.0,9,1.0,1,0.706493438023,-0.534728808687,0.240248274956,,33.0,12.0,29.0,,0.888232128407,0.240248274956,0.647983853451,35.0,29.0
110,3301,26,26,3,3,0.0,0,1.0569,0,2,28.0,2.0,36,2.0,0,-0.534728808687,-0.534728808687,0.741557762527,0.741557762527,12.0,12.0,34.0,34.0,-0.773012109963,0.339246148203,-1.11225825817,4.0,31.0
111,3301,13,13,29,1,0.0,0,1.3922,0,1,7.0,2.0,12,3.0,1,0.706493438023,0.706493438023,-0.6300917585,-0.3698516837,33.0,33.0,9.0,15.0,0.923587677881,3.50764721524,-2.58405953736,36.0,40.0
112,3301,27,3,29,29,0.0,0,1.1475,0,1,3.0,3.0,8,2.0,1,0.240248274956,0.741557762527,-0.6300917585,-0.6300917585,29.0,34.0,9.0,9.0,0.9572121024,-0.292640618302,1.2498527207,37.0,20.0
113,3301,22,0,12,12,0.0,0,1.5378,0,2,26.0,1.0,29,2.0,0,-0.257838708409,,-0.215207513316,-0.215207513316,22.0,,23.0,23.0,-0.257838708409,-0.295667542301,0.037828833892,22.0,19.0
114,3301,22,27,12,12,0.0,0,1.0319,0,1,22.0,3.0,29,2.0,1,-0.257838708409,0.240248274956,-0.215207513316,-0.215207513316,22.0,29.0,23.0,23.0,1.28817709491,-0.295667542301,1.58384463721,38.0,19.0
115,3301,13,26,29,29,0.0,0,1.2961,0,1,5.0,3.0,8,2.0,1,0.706493438023,-0.534728808687,-0.6300917585,-0.6300917585,33.0,12.0,9.0,9.0,0.888232128407,-0.292640618302,1.18087274671,35.0,20.0
116,3301,22,27,26,26,0.0,0,1.1846,0,1,22.0,3.0,28,2.0,1,-0.257838708409,0.240248274956,-0.534728808687,-0.534728808687,22.0,29.0,12.0,12.0,1.28817709491,-0.773012109963,2.06118920487,38.0,4.0
117,3301,16,26,22,22,0.0,0,1.8895,0,1,16.0,3.0,25,2.0,1,-0.710296193358,-0.534728808687,-0.257838708409,-0.257838708409,7.0,12.0,22.0,22.0,-0.689794180106,-1.2448744418,0.555080261694,8.0,2.0
118,3301,22,19,19,19,0.0,0,1.8201,0,1,39.0,3.0,49,2.0,1,-0.257838708409,-0.48098102045,-0.48098102045,-0.48098102045,22.0,13.0,13.0,13.0,0.0683161013914,-0.757086304362,0.825402405753,26.0,5.0
119,3301,3,3,16,0,0.0,0,0.94738,0,1,36.0,2.0,43,1.0,1,0.741557762527,0.741557762527,-0.710296193358,,34.0,34.0,7.0,,0.339246148203,-0.710296193358,1.04954234156,31.0,7.0
120,3301,13,0,22,22,0.0,0,1.7977,0,1,15.0,1.0,25,2.0,1,0.706493438023,,-0.257838708409,-0.257838708409,33.0,,22.0,22.0,0.706493438023,-1.2448744418,1.95136787982,33.0,2.0
121,3301,28,0,12,24,0.0,0,1.2234,0,2,14.0,1.0,19,3.0,0,-0.0492876199734,,-0.215207513316,-0.315726224066,24.0,,23.0,17.0,-0.0492876199734,1.44123015933,-1.4905177793,24.0,39.0
122,3301,6,12,29,10,0.0,0,2.189,0,1,27.0,3.0,30,3.0,1,-0.269332972951,-0.215207513316,-0.6300917585,-0.373781915326,21.0,23.0,9.0,14.0,0.0768644070626,0.0911943234534,-0.0143299163908,27.0,28.0
123,3301,28,0,12,24,0.0,0,1.6794,0,1,14.0,1.0,19,3.0,1,-0.0492876199734,,-0.215207513316,-0.315726224066,24.0,,23.0,17.0,-0.0492876199734,1.44123015933,-1.4905177793,24.0,39.0
124,3301,12,24,6,12,0.0,0,1.5711,0,1,19.0,3.0,27,3.0,1,-0.215207513316,-0.315726224066,-0.269332972951,-0.215207513316,23.0,17.0,21.0,23.0,1.44123015933,0.0768644070626,1.36436575227,39.0,27.0
125,3301,27,0,13,0,0.0,0,1.0276,0,1,9.0,1.0,15,1.0,1,0.240248274956,,0.706493438023,,29.0,,33.0,,0.240248274956,0.706493438023,-0.466245163067,29.0,33.0
126,3301,16,16,6,12,0.0,0,2.477,0,1,21.0,2.0,27,3.0,1,-0.710296193358,-0.710296193358,-0.269332972951,-0.215207513316,7.0,7.0,21.0,23.0,-0.60057181608,0.0768644070626,-0.677436223143,10.0,27.0
127,3301,28,0,12,24,0.0,0,1.9222,0,2,14.0,1.0,19,3.0,0,-0.0492876199734,,-0.215207513316,-0.315726224066,24.0,,23.0,17.0,-0.0492876199734,1.44123015933,-1.4905177793,24.0,39.0
128,3301,3,0,19,19,0.0,0,1.7968,0,1,38.0,1.0,49,2.0,1,0.741557762527,,-0.48098102045,-0.48098102045,34.0,,13.0,13.0,0.741557762527,-0.757086304362,1.49864406689,34.0,5.0
129,3301,16,16,26,26,0.0,0,0.7821,0,1,21.0,2.0,28,2.0,1,-0.710296193358,-0.710296193358,-0.534728808687,-0.534728808687,7.0,7.0,12.0,12.0,-0.60057181608,-0.773012109963,0.172440293883,10.0,4.0
130,3301,3,16,27,0,0.0,0,1.9736,0,2,6.0,3.0,9,1.0,0,0.741557762527,-0.710296193358,0.240248274956,,34.0,7.0,29.0,,-1.2441757086,0.240248274956,-1.48442398356,3.0,29.0
131,3301,26,0,16,0,0.0,0,1.3206,0,2,33.0,1.0,43,1.0,0,-0.534728808687,,-0.710296193358,,12.0,,7.0,,-0.534728808687,-0.710296193358,0.175567384671,12.0,7.0
132,3301,15,15,22,19,0.0,0,1.2958,0,1,32.0,2.0,39,3.0,1,-0.307994015546,-0.307994015546,-0.257838708409,-0.48098102045,18.0,18.0,22.0,13.0,-0.729053988987,0.0683161013914,-0.797370090378,6.0,26.0
133,3301,22,19,19,19,0.0,0,1.0871,0,1,39.0,3.0,49,2.0,1,-0.257838708409,-0.48098102045,-0.48098102045,-0.48098102045,22.0,13.0,13.0,13.0,0.0683161013914,-0.757086304362,0.825402405753,26.0,5.0
134,3301,3,0,19,10,0.0,0,0.97012,0,1,38.0,1.0,46,3.0,1,0.741557762527,,-0.48098102045,-0.373781915326,34.0,,13.0,14.0,0.741557762527,-1.48686858312,2.22842634565,34.0,1.0
135,3301,13,0,16,16,0.0,0,0.9751,0,1,15.0,1.0,21,2.0,1,0.706493438023,,-0.710296193358,-0.710296193358,33.0,,7.0,7.0,0.706493438023,-0.60057181608,1.3070652541,33.0,10.0
136,3301,22,0,12,12,0.0,0,1.4896,0,2,26.0,1.0,29,2.0,0,-0.257838708409,,-0.215207513316,-0.215207513316,22.0,,23.0,23.0,-0.257838708409,-0.295667542301,0.037828833892,22.0,19.0
137,3301,13,26,29,29,0.0,0,1.0504,0,2,5.0,3.0,8,2.0,0,0.706493438023,-0.534728808687,-0.6300917585,-0.6300917585,33.0,12.0,9.0,9.0,0.888232128407,-0.292640618302,1.18087274671,35.0,20.0
138,3301,26,0,3,0,0.0,0,1.0622,0,2,33.0,1.0,38,1.0,0,-0.534728808687,,0.741557762527,,12.0,,34.0,,-0.534728808687,0.741557762527,-1.27628657121,12.0,34.0
139,3301,29,1,13,0,0.0,0,1.2818,0,1,12.0,3.0,15,1.0,1,-0.6300917585,-0.3698516837,0.706493438023,,9.0,15.0,33.0,,3.50764721524,0.706493438023,2.80115377722,40.0,33.0
140,3301,22,0,29,10,0.0,0,1.6757,0,2,26.0,1.0,30,3.0,0,-0.257838708409,,-0.6300917585,-0.373781915326,22.0,,9.0,14.0,-0.257838708409,0.0911943234534,-0.349033031862,22.0,28.0
141,3301,29,1,16,26,0.0,0,1.2229,0,1,12.0,3.0,16,3.0,1,-0.6300917585,-0.3698516837,-0.710296193358,-0.534728808687,9.0,15.0,7.0,12.0,3.50764721524,-0.689794180106,4.19744139535,40.0,8.0
142,3301,26,26,15,15,0.0,0,1.2768,0,2,28.0,2.0,32,2.0,0,-0.534728808687,-0.534728808687,-0.307994015546,-0.307994015546,12.0,12.0,18.0,18.0,-0.773012109963,-0.729053988987,-0.043958120976,4.0,6.0
143,3301,19,3,16,0,0.0,0,0.82314,0,1,37.0,3.0,43,1.0,1,-0.48098102045,0.741557762527,-0.710296193358,,13.0,34.0,7.0,,0.525056342013,-0.710296193358,1.23535253537,32.0,7.0
144,3301,29,0,16,26,0.0,0,1.2148,0,2,13.0,1.0,16,3.0,0,-0.6300917585,,-0.710296193358,-0.534728808687,9.0,,7.0,12.0,-0.6300917585,-0.689794180106,0.059702421606,9.0,8.0
145,3301,29,10,19,3,0.0,0,0.97337,0,2,30.0,3.0,37,3.0,0,-0.6300917585,-0.373781915326,-0.48098102045,0.741557762527,9.0,14.0,13.0,34.0,0.0911943234534,0.525056342013,-0.43386201856,28.0,32.0
146,3301,29,29,29,0,0.0,0,0.99152,0,1,8.0,2.0,13,1.0,1,-0.6300917585,-0.6300917585,-0.6300917585,,9.0,9.0,9.0,,-0.292640618302,-0.6300917585,0.337451140198,20.0,9.0
147,3301,6,12,15,15,0.0,0,1.2088,0,1,27.0,3.0,32,2.0,1,-0.269332972951,-0.215207513316,-0.307994015546,-0.307994015546,21.0,23.0,18.0,18.0,0.0768644070626,-0.729053988987,0.80591839605,27.0,6.0
148,3301,22,27,26,26,0.0,0,0.84005,0,1,22.0,3.0,28,2.0,1,-0.257838708409,0.240248274956,-0.534728808687,-0.534728808687,22.0,29.0,12.0,12.0,1.28817709491,-0.773012109963,2.06118920487,38.0,4.0
149,3301,13,0,22,22,0.0,0,1.0536,0,1,15.0,1.0,25,2.0,1,0.706493438023,,-0.257838708409,-0.257838708409,33.0,,22.0,22.0,0.706493438023,-1.2448744418,1.95136787982,33.0,2.0
150,3301,29,1,12,24,0.0,0,0.78159,0,1,12.0,3.0,19,3.0,1,-0.6300917585,-0.3698516837,-0.215207513316,-0.315726224066,9.0,15.0,23.0,17.0,3.50764721524,1.44123015933,2.06641705591,40.0,39.0
151,3301,16,26,22,22,0.0,0,0.97969,0,2,16.0,3.0,25,2.0,0,-0.710296193358,-0.534728808687,-0.257838708409,-0.257838708409,7.0,12.0,22.0,22.0,-0.689794180106,-1.2448744418,0.555080261694,8.0,2.0
152,3301,16,16,22,0,0.0,0,0.81486,0,1,21.0,2.0,26,1.0,1,-0.710296193358,-0.710296193358,-0.257838708409,,7.0,7.0,22.0,,-0.60057181608,-0.257838708409,-0.342733107671,10.0,22.0
153,3301,22,0,29,10,0.0,0,0.90347,0,2,26.0,1.0,30,3.0,0,-0.257838708409,,-0.6300917585,-0.373781915326,22.0,,9.0,14.0,-0.257838708409,0.0911943234534,-0.349033031862,22.0,28.0
154,3301,22,19,19,19,0.0,0,0.77436,0,1,39.0,3.0,49,2.0,1,-0.257838708409,-0.48098102045,-0.48098102045,-0.48098102045,22.0,13.0,13.0,13.0,0.0683161013914,-0.757086304362,0.825402405753,26.0,5.0
155,3301,3,3,22,19,0.0,0,0.98489,0,1,36.0,2.0,39,3.0,1,0.741557762527,0.741557762527,-0.257838708409,-0.48098102045,34.0,34.0,22.0,13.0,0.339246148203,0.0683161013914,0.270930046812,31.0,26.0
156,3301,3,3,22,19,0.0,0,0.53951,0,1,36.0,2.0,39,3.0,1,0.741557762527,0.741557762527,-0.257838708409,-0.48098102045,34.0,34.0,22.0,13.0,0.339246148203,0.0683161013914,0.270930046812,31.0,26.0
157,3301,12,24,22,22,0.0,0,0.79995,0,1,19.0,3.0,25,2.0,1,-0.215207513316,-0.315726224066,-0.257838708409,-0.257838708409,23.0,17.0,22.0,22.0,1.44123015933,-1.2448744418,2.68610460113,39.0,2.0
158,3301,22,22,26,26,0.0,0,1.0849,0,2,25.0,2.0,28,2.0,0,-0.257838708409,-0.257838708409,-0.534728808687,-0.534728808687,22.0,22.0,12.0,12.0,-1.2448744418,-0.773012109963,-0.471862331837,2.0,4.0
